Answer: 
( _[]_[]_[]_[]_[]_ , 231 )
( _[]_[_[_[]_[]_]]_ , 1307 )
( _[]_[_[_[][][]_]]_ , 6 )
( _[]_[_[_[][_[]_]_]]_ , 6 )
( _[]_[_[_[]_[_[]_]_]]_ , 9 )
( _[]_[_[_[]_[_[]]_]]_ , 6 )
( _[]_[_[_[]_[[]_]_]]_ , 6 )
( _[]_[_[_[][]_[]_]]_ , 3 )
( _[]_[_[_[][_[]]_]]_ , 6 )
( _[]_[_[[]_[]]]_ , 372 )
( _[]_[_[_[]]]_ , 1609 )
( _[]_[_[_[_[]]]]_ , 239 )
( _[]_[_[_[_[]_]]]_ , 2570 )
( _[]_[_[_[[]_]]]_ , 751 )
( _[]_[_[_[_[]_[]]]]_ , 17 )
( _[]_[_[_[[][]]]]_ , 6 )
( _[]_[_[_[[[]_]_]]]_ , 87 )
( _[]_[_[_[_[_[]]_]]]_ , 139 )
( _[]_[_[_[_[_[]_]_]]]_ , 195 )
( _[]_[_[[]_]]_ , 4083 )
( _[]_[_[_[]_]]_ , 15713 )
( _[]_[_[_[_[]]_]]_ , 2291 )
( _[]_[_[_[[]_]_]]_ , 2230 )
( _[]_[_[_[_[]_]_]]_ , 4779 )
( _[]_[_[_[_[_[]_]]_]]_ , 125 )
( _[]_[_[_[_[_[]]]_]]_ , 55 )
( _[]_[_[_[_[[]_]]_]]_ , 79 )
( _[]_[_[_[_[_[]_]_]_]]_ , 234 )
( _[]_[_[_[_[]_[]]_]]_ , 61 )
( _[]_[_[_[_[][]]_]]_ , 46 )
( _[]_[_[_[[][]_]_]]_ , 90 )
( _[]_[_[_[[]_[]]_]]_ , 55 )
( _[]_[_[_[[_[]_]_]_]]_ , 172 )
( _[]_[_[_[[_[]]_]_]]_ , 69 )
( _[]_[_[_[[[]_]_]_]]_ , 83 )
( _[]_[_[_[_[[]_]_]_]]_ , 157 )
( _[]_[_[_[_[]_[]_]_]]_ , 41 )
( _[]_[_[_[_[][]_]_]]_ , 51 )
( _[]_[_[_[_[_[[]_]_]]_]]_ , 3 )
( _[]_[_[_[_[_[]]_]_]]_ , 202 )
( _[]_[_[[_[]]_]]_ , 1053 )
( _[]_[_[[_[]_]_]]_ , 2052 )
( _[]_[[]_]_ , 7924 )
( _[]_[[_[]]_]_ , 3495 )
( _[]_[[[]_]_]_ , 3278 )
( _[]_[[_[]_]_]_ , 13591 )
( _[]_[[_[]_[]]_]_ , 668 )
( _[]_[[[]_[]_]_]_ , 651 )
( _[]_[[[][]_]_]_ , 570 )
( _[]_[[_[][]_]_]_ , 1052 )
( _[]_[[[]_[]]_]_ , 334 )
( _[]_[[_[_[]]]_]_ , 520 )
( _[]_[[_[[]_]]_]_ , 785 )
( _[]_[[_[_[]_]]_]_ , 1853 )
( _[]_[[[_[]]_]_]_ , 907 )
( _[]_[[[[]_]_]_]_ , 430 )
( _[]_[[[_[]_]_]_]_ , 1613 )
( _[]_[[_[_[]]_]_]_ , 2495 )
( _[]_[[_[[]_]_]_]_ , 2439 )
( _[]_[[_[_[]_]_]_]_ , 6327 )
( _[]_[[_[][]]_]_ , 360 )
( _[]_[[[][[]_]_]_]_ , 15 )
( _[]_[[_[]_[]_]_]_ , 1904 )
( _[]_[[_[_[_[]_]]]_]_ , 57 )
( _[]_[[_[_[_[]]]]_]_ , 21 )
( _[]_[[_[_[[]_]]]_]_ , 19 )
( _[]_[[_[_[_[]_]_]]_]_ , 415 )
( _[]_[[[[][]_]_]_]_ , 22 )
( _[]_[[[[]_[]_]_]_]_ , 13 )
( _[]_[[[_[_[]_]]_]_]_ , 206 )
( _[]_[[[[_[]]_]_]_]_ , 41 )
( _[]_[[[[[]_]_]_]_]_ , 32 )
( _[]_[[[[_[]_]_]_]_]_ , 81 )
( _[]_[[[_[_[]]_]_]_]_ , 36 )
( _[]_[[[_[[]_]_]_]_]_ , 42 )
( _[]_[[[_[_[]_]_]_]_]_ , 81 )
( _[]_[[_[_[_[]_]]_]_]_ , 638 )
( _[]_[_[]_]_ , 39851 )
( _[]_[_[_[]_]_]_ , 51157 )
( _[]_[_[_[]]_]_ , 14734 )
( _[]_[_[[]_]_]_ , 17261 )
( _[]_[_[_[][]]_]_ , 831 )
( _[]_[_[[][]_]_]_ , 1687 )
( _[]_[_[[]_[]_]_]_ , 1982 )
( _[]_[_[_[_[]_]]_]_ , 4220 )
( _[]_[_[[_[]]_]_]_ , 2246 )
( _[]_[_[[[]_]_]_]_ , 1828 )
( _[]_[_[[_[]_]_]_]_ , 4352 )
( _[]_[_[_[_[]]_]_]_ , 5683 )
( _[]_[_[_[[]_]_]_]_ , 5149 )
( _[]_[_[_[_[]_]_]_]_ , 10560 )
( _[]_[_[_[][]_]_]_ , 2114 )
( _[]_[_[_[]_[]_]_]_ , 2931 )
( _[]_[_[_[_[]]]_]_ , 1394 )
( _[]_[_[_[[]_]]_]_ , 2047 )
( _[]_[_[_[]_[]]_]_ , 1084 )
( _[]_[_[[]_[]]_]_ , 886 )
( _[]_[_[[_[_[]_]]_]_]_ , 287 )
( _[]_[_[[_[_[]]]_]_]_ , 73 )
( _[]_[_[[_[[]_]]_]_]_ , 114 )
( _[]_[_[[_[_[]_]_]_]_]_ , 618 )
( _[]_[_[_[_[_[]_]]_]_]_ , 509 )
( _[]_[_[_[][_[]]]_]_ , 18 )
( _[]_[_[_[][_[]_]]_]_ , 9 )
( _[]_[_[_[_[[]_]_]]_]_ , 153 )
( _[]_[_[_[_[_[]]]_]_]_ , 177 )
( _[]_[_[_[_[[]_]]_]_]_ , 279 )
( _[]_[_[_[_[_[]_]_]_]_]_ , 482 )
( _[]_[_[[][]]_]_ , 620 )
( _[]_[][]_[]_[]_ , 120 )
( _[]_[][]_[]_ , 2839 )
( _[]_[][]_[_[]_]_ , 170 )
( _[]_[][]_[[]_]_ , 122 )
( _[]_[][]_ , 4375 )
( _[]_[][]_[] , 860 )
( _[]_[][]_[][]_ , 154 )
( _[]_[][]_[[]_] , 126 )
( _[]_[][]_[_[]_] , 414 )
( _[]_[][[]_]_[]_ , 158 )
( _[]_[][[]_]_ , 935 )
( _[]_[][_[]_]_[]_ , 230 )
( _[]_[][_[]_]_ , 4192 )
( _[]_[][_[]]_ , 270 )
( _[]_[][_[]_[]]_ , 162 )
( _[]_[][[]_[]_]_ , 146 )
( _[]_[][[][]_]_ , 172 )
( _[]_[][[]_[]]_ , 65 )
( _[]_[][[_[]]_]_ , 138 )
( _[]_[][[_[]_]_]_ , 594 )
( _[]_[][_[_[]]_]_ , 472 )
( _[]_[][_[[]_]_]_ , 698 )
( _[]_[][_[_[]_]_]_ , 1686 )
( _[]_[][_[]_[]_]_ , 436 )
( _[]_[][_[[_[]_]_]_]_ , 54 )
( _[]_[][[][_[]_]_]_ , 8 )
( _[]_[][[_[]][]_]_ , 24 )
( _[]_[][[_[]_][]_]_ , 14 )
( _[]_[][_[][]_]_ , 258 )
( _[]_[][_[[]_]]_ , 186 )
( _[]_[][_[_[]_]]_ , 698 )
( _[]_[][_[[]_[]]]_ , 14 )
( _[]_[][_[_[]]]_ , 58 )
( _[]_[][_[_[[]_]]]_ , 28 )
( _[]_[][_[_[_[]_]]]_ , 36 )
( _[]_[][[_[_[]_]_]_]_ , 38 )
( _[]_[][][]_ , 1068 )
( _[]_[][][]_[]_ , 150 )
( _[]_[][][[]_]_ , 96 )
( _[]_[][][_[]_]_ , 256 )
( _[]_[][][][]_ , 32 )
( _[]_[][[]_][]_ , 16 )
( _[]_[][_[]_][]_ , 88 )
( _[]_[][]_[][] , 24 )
( _[]_[][[]_]_[] , 58 )
( _[]_[][_[]_]_[] , 16 )
( _[]_[][_[]]_[]_ , 159 )
( _[]_[]_[[]_]_[] , 96 )
( _[_[]]_[]_[]_[]_[]_ , 4 )
( _[_[]]_[]_[]_[]_ , 1253 )
( _[_[]]_[]_[][]_ , 831 )
( _[_[]]_[]_[][_[]_]_ , 24 )
( _[_[]]_[]_[][[]_]_ , 8 )
( _[_[]]_[]_[][]_[]_ , 12 )
( _[_[]]_[]_[_[]][]_ , 16 )
( _[_[]]_[]_[_[]_][]_ , 8 )
( _[_[]]_[]_[]_ , 7650 )
( _[_[]]_[]_[]_[] , 226 )
( _[_[]]_[]_[]_[[]_]_ , 21 )
( _[_[]]_[]_[]_[_[]_]_ , 21 )
( _[_[]]_[]_[]_[][]_ , 21 )
( _[_[]]_[]_[]_[[]_] , 21 )
( _[_[]]_[]_[]_[_[]_] , 63 )
( _[_[]]_[]_[_[]]_ , 131 )
( _[_[]]_[]_[_[]]_[]_ , 40 )
( _[_[]]_[]_[_[]_]_ , 2535 )
( _[_[]]_[]_[_[]_]_[]_ , 52 )
( _[_[]]_[]_[_[_[]_]_]_ , 57 )
( _[_[]]_[]_ , 5164 )
( _[_[]]_[]_[] , 2562 )
( _[_[]]_[]_[[]_]_ , 1146 )
( _[_[]]_[]_[[]_] , 486 )
( _[_[]]_[]_[_[]_] , 1671 )
( _[_[]]_[]_[][] , 142 )
( _[_[]]_[]_[[][]_]_ , 54 )
( _[_[]]_[]_[_[]_[]_]_ , 53 )
( _[_[]]_[]_[[[]_]_]_ , 54 )
( _[_[]]_[]_[[_[]_]_]_ , 171 )
( _[_[]]_[]_[[]_[]]_ , 13 )
( _[_[]]_[]_[_[[]_]]_ , 26 )
( _[_[]]_[]_[_[_[]_]]_ , 26 )
( _[_[]]_[]_[[]_]_[]_ , 38 )
( _[_[]]_[]_[[]_[]_]_ , 26 )
( _[_[]]_[]_[_[][]_]_ , 26 )
( _[_[]]_[]_[_[[]_]_]_ , 26 )
( _[_[]]_[_[]_[]]_ , 1322 )
( _[_[]]_[_[]_[_[]]]_ , 36 )
( _[_[]]_[_[]_[[]_]]_ , 74 )
( _[_[]]_[_[]_[[_[]_]_]]_ , 6 )
( _[_[]]_[_[]_[_[]_]]_ , 172 )
( _[_[]]_[[]_[][]_]_ , 46 )
( _[_[]]_[[]_[]_[]_]_ , 57 )
( _[_[]]_[[]_[]_]_ , 1791 )
( _[_[]]_[[]_[_[]]_]_ , 63 )
( _[_[]]_[[]_[_[]_]_]_ , 283 )
( _[_[]]_[[]_[[]_]_]_ , 151 )
( _[_[]]_[[_[]]_[]_]_ , 157 )
( _[_[]]_[[[]_]_[]_]_ , 78 )
( _[_[]]_[[_[]_]_[]_]_ , 213 )
( _[_[]]_[[][]_[]_]_ , 65 )
( _[_[]]_[[][][]_]_ , 40 )
( _[_[]]_[[][]_]_ , 976 )
( _[_[]]_[[][[]_]_]_ , 25 )
( _[_[]]_[[][_[]_]_]_ , 190 )
( _[_[]]_[[][_[]]_]_ , 27 )
( _[_[]]_[[_[]][]_]_ , 151 )
( _[_[]]_[[[]_][]_]_ , 50 )
( _[_[]]_[[_[]_][]_]_ , 251 )
( _[_[]]_[[_[]]_[_[]_]_]_ , 2 )
( _[_[]]_[[[]_]_[_[]_]_]_ , 1 )
( _[_[]]_[_[][]_[]_]_ , 102 )
( _[_[]]_[_[][][]_]_ , 67 )
( _[_[]]_[_[][]_]_ , 2263 )
( _[_[]]_[_[][[]_]_]_ , 63 )
( _[_[]]_[_[][_[]]_]_ , 35 )
( _[_[]]_[_[][_[]_]_]_ , 197 )
( _[_[]]_[_[_[]][]_]_ , 135 )
( _[_[]]_[_[[]_][]_]_ , 144 )
( _[_[]]_[_[_[]_][]_]_ , 306 )
( _[_[]]_[_[]_[]_[]_]_ , 90 )
( _[_[]]_[_[]_[]_]_ , 4388 )
( _[_[]]_[_[]_[_[]_]_]_ , 399 )
( _[_[]]_[_[]_[_[]]_]_ , 70 )
( _[_[]]_[_[]_[[]_]_]_ , 184 )
( _[_[]]_[_[_[]]_[]_]_ , 305 )
( _[_[]]_[_[[]_]_[]_]_ , 227 )
( _[_[]]_[_[_[]_]_[]_]_ , 514 )
( _[_[]]_[_[]_[][]_]_ , 57 )
( _[_[]]_[_[_[]_][_[]_]_]_ , 1 )
( _[_[]]_[_[_[][]]_[]_]_ , 1 )
( _[_[]]_[[][]]_ , 273 )
( _[_[]]_[[][_[]_[]]]_ , 1 )
( _[_[]]_[[][[]_[]_]]_ , 1 )
( _[_[]]_[[][[][]_]]_ , 2 )
( _[_[]]_[[][[]_[]]]_ , 1 )
( _[_[]]_[[][_[]]]_ , 4 )
( _[_[]]_[[][[]_]]_ , 67 )
( _[_[]]_[[][[_[]]_]]_ , 2 )
( _[_[]]_[[][[_[]_]_]]_ , 1 )
( _[_[]]_[[][_[]_]]_ , 107 )
( _[_[]]_[[][_[_[]]_]]_ , 2 )
( _[_[]]_[[][_[[]_]_]]_ , 2 )
( _[_[]]_[[][_[_[]_]_]]_ , 3 )
( _[_[]]_[[]_[]]_ , 598 )
( _[_[]]_[[]_[_[]]]_ , 18 )
( _[_[]]_[[]_[[]_]]_ , 78 )
( _[_[]]_[[]_[[_[]_]_]]_ , 7 )
( _[_[]]_[[]_[_[]_]]_ , 226 )
( _[_[]]_[_[]]_ , 2018 )
( _[_[]]_[_[_[][]]]_ , 49 )
( _[_[]]_[_[_[_[]_][]]]_ , 2 )
( _[_[]]_[_[_[]_[]]]_ , 179 )
( _[_[]]_[_[_[_[]]_[]]]_ , 9 )
( _[_[]]_[_[_[[]_]_[]]]_ , 11 )
( _[_[]]_[_[_[_[]_]_[]]]_ , 11 )
( _[_[]]_[_[_[][]_[]]]_ , 2 )
( _[_[]]_[_[_[]_[]_[]]]_ , 1 )
( _[_[]]_[_[[]_[]_]]_ , 264 )
( _[_[]]_[_[[][]_]]_ , 161 )
( _[_[]]_[_[_[][]_]]_ , 184 )
( _[_[]]_[_[_[_[]][]_]]_ , 2 )
( _[_[]]_[_[_[[]_][]_]]_ , 1 )
( _[_[]]_[_[_[_[]_][]_]]_ , 3 )
( _[_[]]_[_[_[]_[]_]]_ , 280 )
( _[_[]]_[_[_[][][]_]]_ , 2 )
( _[_[]]_[_[_[][_[]_]_]]_ , 2 )
( _[_[]]_[_[_[]_[_[]_]_]]_ , 3 )
( _[_[]]_[_[_[]_[_[]]_]]_ , 2 )
( _[_[]]_[_[_[]_[[]_]_]]_ , 2 )
( _[_[]]_[_[_[][]_[]_]]_ , 1 )
( _[_[]]_[_[_[][_[]]_]]_ , 2 )
( _[_[]]_[_[[]_[]]]_ , 99 )
( _[_[]]_[_[_[]]]_ , 467 )
( _[_[]]_[_[_[_[]]]]_ , 47 )
( _[_[]]_[_[_[_[]_]]]_ , 526 )
( _[_[]]_[_[_[[]_]]]_ , 179 )
( _[_[]]_[_[_[_[]_[]]]]_ , 3 )
( _[_[]]_[_[_[[][]]]]_ , 2 )
( _[_[]]_[_[_[[[]_]_]]]_ , 13 )
( _[_[]]_[_[_[_[_[]]_]]]_ , 21 )
( _[_[]]_[_[_[_[_[]_]_]]]_ , 31 )
( _[_[]]_[_[[]_]]_ , 1320 )
( _[_[]]_[_[_[]_]]_ , 4743 )
( _[_[]]_[_[_[_[]]_]]_ , 516 )
( _[_[]]_[_[_[[]_]_]]_ , 499 )
( _[_[]]_[_[_[_[]_]_]]_ , 1046 )
( _[_[]]_[_[_[_[_[]_]]_]]_ , 33 )
( _[_[]]_[_[_[_[_[]]]_]]_ , 13 )
( _[_[]]_[_[_[_[[]_]]_]]_ , 21 )
( _[_[]]_[_[_[_[_[]_]_]_]]_ , 42 )
( _[_[]]_[_[_[_[]_[]]_]]_ , 11 )
( _[_[]]_[_[_[_[][]]_]]_ , 10 )
( _[_[]]_[_[_[[][]_]_]]_ , 14 )
( _[_[]]_[_[_[[]_[]]_]]_ , 9 )
( _[_[]]_[_[_[[_[]_]_]_]]_ , 40 )
( _[_[]]_[_[_[[_[]]_]_]]_ , 11 )
( _[_[]]_[_[_[[[]_]_]_]]_ , 13 )
( _[_[]]_[_[_[_[[]_]_]_]]_ , 31 )
( _[_[]]_[_[_[_[]_[]_]_]]_ , 7 )
( _[_[]]_[_[_[_[][]_]_]]_ , 9 )
( _[_[]]_[_[_[_[_[[]_]_]]_]]_ , 1 )
( _[_[]]_[_[_[_[_[]]_]_]]_ , 30 )
( _[_[]]_[_[[_[]]_]]_ , 254 )
( _[_[]]_[_[[_[]_]_]]_ , 485 )
( _[_[]]_[[]_]_ , 4243 )
( _[_[]]_[[_[]]_]_ , 1228 )
( _[_[]]_[[[]_]_]_ , 1267 )
( _[_[]]_[[_[]_]_]_ , 4633 )
( _[_[]]_[[_[]_[]]_]_ , 164 )
( _[_[]]_[[[]_[]_]_]_ , 142 )
( _[_[]]_[[[][]_]_]_ , 167 )
( _[_[]]_[[_[][]_]_]_ , 214 )
( _[_[]]_[[[]_[]]_]_ , 92 )
( _[_[]]_[[_[_[]]]_]_ , 118 )
( _[_[]]_[[_[[]_]]_]_ , 180 )
( _[_[]]_[[_[_[]_]]_]_ , 392 )
( _[_[]]_[[[_[]]_]_]_ , 244 )
( _[_[]]_[[[[]_]_]_]_ , 118 )
( _[_[]]_[[[_[]_]_]_]_ , 380 )
( _[_[]]_[[_[_[]]_]_]_ , 554 )
( _[_[]]_[[_[[]_]_]_]_ , 542 )
( _[_[]]_[[_[_[]_]_]_]_ , 1284 )
( _[_[]]_[[_[][]]_]_ , 80 )
( _[_[]]_[[[][[]_]_]_]_ , 1 )
( _[_[]]_[[_[]_[]_]_]_ , 340 )
( _[_[]]_[[_[_[_[]_]]]_]_ , 5 )
( _[_[]]_[[_[_[_[]]]]_]_ , 1 )
( _[_[]]_[[_[_[[]_]]]_]_ , 1 )
( _[_[]]_[[_[_[_[]_]_]]_]_ , 16 )
( _[_[]]_[[[[][]_]_]_]_ , 3 )
( _[_[]]_[[[[]_[]_]_]_]_ , 1 )
( _[_[]]_[[[_[_[]_]]_]_]_ , 31 )
( _[_[]]_[[[[_[]]_]_]_]_ , 8 )
( _[_[]]_[[[[[]_]_]_]_]_ , 3 )
( _[_[]]_[[[[_[]_]_]_]_]_ , 13 )
( _[_[]]_[[[_[_[]]_]_]_]_ , 2 )
( _[_[]]_[[[_[[]_]_]_]_]_ , 7 )
( _[_[]]_[[[_[_[]_]_]_]_]_ , 9 )
( _[_[]]_[[_[_[_[]_]]_]_]_ , 107 )
( _[_[]]_[_[]_]_ , 16870 )
( _[_[]]_[_[_[]_]_]_ , 13194 )
( _[_[]]_[_[_[]]_]_ , 4009 )
( _[_[]]_[_[[]_]_]_ , 4873 )
( _[_[]]_[_[_[][]]_]_ , 165 )
( _[_[]]_[_[[][]_]_]_ , 361 )
( _[_[]]_[_[[]_[]_]_]_ , 371 )
( _[_[]]_[_[_[_[]_]]_]_ , 759 )
( _[_[]]_[_[[_[]]_]_]_ , 423 )
( _[_[]]_[_[[[]_]_]_]_ , 369 )
( _[_[]]_[_[[_[]_]_]_]_ , 778 )
( _[_[]]_[_[_[_[]]_]_]_ , 1005 )
( _[_[]]_[_[_[[]_]_]_]_ , 906 )
( _[_[]]_[_[_[_[]_]_]_]_ , 1602 )
( _[_[]]_[_[_[][]_]_]_ , 335 )
( _[_[]]_[_[_[]_[]_]_]_ , 381 )
( _[_[]]_[_[_[_[]]]_]_ , 256 )
( _[_[]]_[_[_[[]_]]_]_ , 408 )
( _[_[]]_[_[_[]_[]]_]_ , 209 )
( _[_[]]_[_[[]_[]]_]_ , 189 )
( _[_[]]_[_[[_[_[]_]]_]_]_ , 25 )
( _[_[]]_[_[[_[_[]]]_]_]_ , 5 )
( _[_[]]_[_[[_[[]_]]_]_]_ , 8 )
( _[_[]]_[_[[_[_[]_]_]_]_]_ , 6 )
( _[_[]]_[_[_[_[_[]_]]_]_]_ , 22 )
( _[_[]]_[_[_[][_[]]]_]_ , 2 )
( _[_[]]_[_[_[][_[]_]]_]_ , 1 )
( _[_[]]_[_[_[_[[]_]_]]_]_ , 26 )
( _[_[]]_[_[_[_[_[]]]_]_]_ , 9 )
( _[_[]]_[_[_[_[[]_]]_]_]_ , 9 )
( _[_[]]_[_[_[_[_[]_]_]_]_]_ , 38 )
( _[_[]]_[_[[][]]_]_ , 152 )
( _[_[]]_[][]_[]_[]_ , 21 )
( _[_[]]_[][]_[]_ , 899 )
( _[_[]]_[][]_[_[]_]_ , 31 )
( _[_[]]_[][]_[[]_]_ , 23 )
( _[_[]]_[][]_ , 2465 )
( _[_[]]_[][]_[] , 206 )
( _[_[]]_[][]_[][]_ , 27 )
( _[_[]]_[][]_[[]_] , 25 )
( _[_[]]_[][]_[_[]_] , 81 )
( _[_[]]_[][[]_]_[]_ , 32 )
( _[_[]]_[][[]_]_ , 338 )
( _[_[]]_[][_[]_]_[]_ , 51 )
( _[_[]]_[][_[]_]_ , 1155 )
( _[_[]]_[][_[]]_ , 49 )
( _[_[]]_[][_[]_[]]_ , 2 )
( _[_[]]_[][[]_[]_]_ , 22 )
( _[_[]]_[][[][]_]_ , 34 )
( _[_[]]_[][[]_[]]_ , 3 )
( _[_[]]_[][[_[]]_]_ , 12 )
( _[_[]]_[][[_[]_]_]_ , 62 )
( _[_[]]_[][_[_[]]_]_ , 28 )
( _[_[]]_[][_[[]_]_]_ , 72 )
( _[_[]]_[][_[_[]_]_]_ , 165 )
( _[_[]]_[][_[]_[]_]_ , 30 )
( _[_[]]_[][_[[_[]_]_]_]_ , 6 )
( _[_[]]_[][[][_[]_]_]_ , 2 )
( _[_[]]_[][[_[]][]_]_ , 4 )
( _[_[]]_[][[_[]_][]_]_ , 2 )
( _[_[]]_[][_[][]_]_ , 12 )
( _[_[]]_[][_[[]_]]_ , 14 )
( _[_[]]_[][_[_[]_]]_ , 38 )
( _[_[]]_[][_[[]_[]]]_ , 2 )
( _[_[]]_[][_[_[]]]_ , 6 )
( _[_[]]_[][_[_[[]_]]]_ , 4 )
( _[_[]]_[][_[_[_[]_]]]_ , 4 )
( _[_[]]_[][[_[_[]_]_]_]_ , 2 )
( _[_[]]_[][][]_ , 390 )
( _[_[]]_[][][]_[]_ , 26 )
( _[_[]]_[][][[]_]_ , 22 )
( _[_[]]_[][][_[]_]_ , 58 )
( _[_[]]_[][][][]_ , 8 )
( _[_[]]_[][[]_][]_ , 4 )
( _[_[]]_[][_[]_][]_ , 20 )
( _[_[]]_[][]_[][] , 4 )
( _[_[]]_[][[]_]_[] , 12 )
( _[_[]]_[][_[]_]_[] , 4 )
( _[_[]]_[][_[]]_[]_ , 34 )
( _[_[]]_[]_[[]_]_[] , 4 )
( _[]_[_[]]_[]_ , 4947 )
( _[]_[_[]_]_[]_ , 12864 )
